Judul,Penulis,Harga,Stok
Naruto Eps 1,Masashi Kishimoto,40000,45
Perkebunan Karet Skala Kecil Cepat Panen,andra,40000,1000
Cara Mudah & Cepat Buat Kompos,andra,40000,1000
Membuat Filet Ikan Patin,andra,40000,1000
Teknik Pengawetan & Pengolahan Ikan,andra,40000,1000
Agribisnis Ikan Patin,andra,40000,1000
Pengolahan Limbah Ternak,andra,40000,1000
Naruto Eps 2,Masashi Kishimoto,41000,100
Analisis Lanskap Agroforestri,andra,40000,656
Hukum Kehutanan di Indonesia,andra,40000,1000
Berkebun Kopi,andra,40000,1000
Naruto Eps 3,Masashi Kishimoto,41000,100
Naruto Eps 4,Masashi Kishimoto,42000,100
Fikih Akhlak,andra,40000,1000
Dengan Al Qur’an Masuk Islamlah Mereka,andra,40000,1000
Ya Allah Jadikanlah Kami Ahlul Qur’an Seri II,andra,40000,1000
Naruto Eps 5,Masashi Kishimoto,42000,1000000000000
Naruto Eps 6,Masashi Kishimoto,40000,95
Ya Allah Jadikanlah Kami Ahlul Qur’an Seri I,andra,40000,1000
Naruto Eps 7,Masashi Kishimoto,41000,56
Inspirasi Bisnis Berbasis Komunitas,andra,40000,1000
Ramuan & Khasiat Kulit Manggis,andra,40000,1000
Pisang untuk anak,andra,40000,701
Menggali Harta Terpendam,andra,40000,1000
Alam Harta Tak Terbatas,andra,40000,1000
Mukjizat Nabi Dan Rasul,andra,40000,1000
Naruto Eps 8,Masashi Kishimoto,42000,67
Naruto Eps 9,Masashi Kishimoto,40000,11
Berkebun Organik Buah & Sayur,andra,40000,1000
Kiat Sukses Budi Daya Jamur Tiram,andra,40000,999
Naruto Eps 10,Masashi Kishimoto,1200000,10
Dasar-dasar Agonomi,andra,40000,1000
Bundel Trubus (bisnis kopi dengan modal hemat),andra,40000,1000
Membuat Sabun & Sampo,andra,40000,1000
Tafsir Juz ‘Amma,andra,40000,1000
Ta’limul Muta’allim: Pentingnya Adab Sebelum Ilmu,andra,40000,1000
angila,sastiya,780000,100000000000000
nanti juga terbiasa,iqbal,12000,10
hijrah itu mudah,andra,60000,100